Transaction ID,Date,Currency,Sender,Receiver,Amount,Fee,Type,Amount Value,Fee Value,Currency Type From Amount
TX093,17/06/2023,Lumina,Denise Lopez,Michelle Holmes,853 Lumina,32 Lumina,Payment,853,32,Lumina
TX094,13/04/2023,Auric,Ronald Fisher,Carl Nolan,566 Auric,31 Auric,Purchase,566,31,Auric
TX095,13/08/2023,Auric,David Thomas,Allison Richardson,813 Auric,36 Auric,Payment,813,36,Auric
TX096,21/06/2023,Electra,Antonio Pham,Jessica Jones,593 Electra,7 Electra,Transfer,593,7,Electra
TX097,03/02/2023,Zentia,Anthony Dyer,John Brown,631 Zentia,3 Zentia,Payment,631,3,Zentia
TX098,16/06/2023,Lumina,Meredith Cameron,Kathryn Smith,874 Lumina,23 Lumina,Transfer,874,23,Lumina
TX099,12/02/2023,Lumina,Christopher Patton,Margaret Cruz DDS,396 Lumina,24 Lumina,Payment,396,24,Lumina
TX100,02/01/2023,Electra,Stephen Terry,Cynthia Davis,52 Electra,20 Electra,Purchase,52,20,Electra
TX101,27/06/2023,Auric,Alicia Taylor,Sean Harris,558 Auric,39 Auric,Purchase,558,39,Auric
TX102,23/08/2023,Lumina,Nicole Bush,Xavier Oneill,465 Lumina,15 Lumina,Payment,465,15,Lumina
TX103,20/01/2023,Auric,Erin Rodriguez,Jeremy Foster,598 Auric,46 Auric,Transfer,598,46,Auric
TX104,22/08/2023,Auric,Rachel Roth,Vincent Rivera,547 Auric,28 Auric,Transfer,547,28,Auric
TX105,27/06/2023,Electra,Heather Gates,Samantha Morales,145 Electra,34 Electra,Transfer,145,34,Electra
TX106,27/03/2023,Lumina,Cynthia Burns,Leslie Freeman,96 Lumina,27 Lumina,Payment,96,27,Lumina
TX107,28/02/2023,Electra,Jake Hickman,Devin Lane,740 Electra,47 Electra,Payment,740,47,Electra
TX108,25/06/2023,Auric,Kenneth Dalton,Stephanie Davis,860 Auric,14 Auric,Purchase,860,14,Auric
TX109,04/08/2023,Lumina,Mr. Bobby Price,Travis Duffy,430 Lumina,12 Lumina,Payment,430,12,Lumina
TX110,19/08/2023,Auric,Danielle Cain,Tracy Smith,543 Auric,14 Auric,Purchase,543,14,Auric
TX111,30/04/2023,Auric,Chad Rodriguez,Omar Webb,550 Auric,16 Auric,Transfer,550,16,Auric
TX112,21/08/2023,Lumina,Tiffany Graham,Gary Jacobs PhD,436 Lumina,3 Lumina,Transfer,436,3,Lumina
TX113,14/04/2023,Electra,Jesus Collins,Eric Lee,883 Electra,27 Electra,Purchase,883,27,Electra
TX114,12/03/2023,Lumina,Amber George,Betty Miller,534 Lumina,6 Lumina,Purchase,534,6,Lumina
TX115,26/01/2023,Auric,Jeffrey Hernandez,Robert Medina,205 Auric,8 Auric,Purchase,205,8,Auric
TX116,24/05/2023,Lumina,Sandra Perry,Abigail Clark,955 Lumina,37 Lumina,Transfer,955,37,Lumina
TX117,14/01/2023,Lumina,Shaun White,Kaylee Pierce,332 Lumina,49 Lumina,Purchase,332,49,Lumina
TX118,13/05/2023,Auric,Donna Thomas,William Reynolds,49 Auric,7 Auric,Transfer,49,7,Auric
TX119,16/04/2023,Auric,David Gill,Timothy Gutierrez,358 Auric,10 Auric,Payment,358,10,Auric
TX120,26/07/2023,Auric,Cynthia Jones,Mark Kirby,657 Auric,1 Auric,Purchase,657,1,Auric
TX121,31/07/2023,Electra,Rachel Jones,Dan Vega,354 Electra,10 Electra,Payment,354,10,Electra
TX122,16/03/2023,Electra,Taylor Mullins,Marissa Hurst,222 Electra,1 Electra,Payment,222,1,Electra
TX123,14/02/2023,Electra,Jeremy Smith,Richard Pittman,127 Electra,47 Electra,Purchase,127,47,Electra
TX124,29/04/2023,Auric,Mary Torres,Miguel Jones,203 Auric,43 Auric,Payment,203,43,Auric
TX125,17/01/2023,Lumina,Rhonda Thomas,Kristin Gonzalez,588 Lumina,26 Lumina,Transfer,588,26,Lumina
TX126,21/05/2023,Auric,Dawn Wagner,Brooke Morrison,992 Auric,38 Auric,Purchase,992,38,Auric
TX127,05/01/2023,Auric,David Foster,Elizabeth Fisher,134 Auric,21 Auric,Transfer,134,21,Auric
TX128,29/04/2023,Zentia,Teresa Mills,Mary Stone,985 Zentia,33 Zentia,Transfer,985,33,Zentia
TX129,21/04/2023,Auric,Maria Cross,Todd Jackson,941 Auric,27 Auric,Transfer,941,27,Auric
TX130,17/01/2023,Electra,Christopher Wood,Diana Cooper,266 Electra,8 Electra,Payment,266,8,Electra
TX131,11/03/2023,Zentia,Kelly Tucker,Daniel Rodriguez,973 Zentia,48 Zentia,Payment,973,48,Zentia
TX132,31/03/2023,Electra,Brent Kelly,Kevin Holland Jr.,240 Electra,35 Electra,Transfer,240,35,Electra
TX133,10/08/2023,Zentia,Melissa Martinez,Corey Reynolds,412 Zentia,36 Zentia,Transfer,412,36,Zentia
TX134,31/01/2023,Zentia,Anna Madden,Thomas Schmitt,981 Zentia,23 Zentia,Transfer,981,23,Zentia
TX135,03/05/2023,Lumina,Virginia Wilson,James Mclaughlin MD,111 Lumina,5 Lumina,Purchase,111,5,Lumina
TX136,10/02/2023,Lumina,Diane Rosales,Lisa Guzman,478 Lumina,1 Lumina,Payment,478,1,Lumina
TX137,23/03/2023,Lumina,Derek Watson,Jessica Reynolds,344 Lumina,36 Lumina,Payment,344,36,Lumina
TX138,13/04/2023,Auric,Beverly Hunt,Thomas Hayes,456 Auric,6 Auric,Transfer,456,6,Auric
TX139,26/02/2023,Auric,Garrett Mclaughlin,Ralph Rice,723 Auric,30 Auric,Purchase,723,30,Auric
TX140,09/06/2023,Lumina,Scott Strong,Kenneth Bond,121 Lumina,10 Lumina,Payment,121,10,Lumina
TX141,06/07/2023,Zentia,Mrs. Hayley Keith,Briana Rice,641 Zentia,11 Zentia,Transfer,641,11,Zentia
TX142,03/01/2023,Electra,Adam Roberts,Christina Nguyen,889 Electra,26 Electra,Purchase,889,26,Electra
TX143,27/02/2023,Zentia,Spencer Davis,Tim Brown,31 Zentia,12 Zentia,Transfer,31,12,Zentia
TX144,19/01/2023,Electra,Shane Smith,Natalie Baker,630 Electra,23 Electra,Purchase,630,23,Electra
TX145,28/07/2023,Lumina,Barbara Quinn,Joseph Jackson,149 Lumina,31 Lumina,Payment,149,31,Lumina
TX146,21/04/2023,Auric,Stacy Miranda,Marie Wilson,295 Auric,18 Auric,Transfer,295,18,Auric
TX147,22/03/2023,Lumina,Rebekah Marshall,Valerie Tucker,593 Lumina,31 Lumina,Transfer,593,31,Lumina
TX148,07/04/2023,Electra,Melanie Conrad,Tonya Green,195 Electra,35 Electra,Purchase,195,35,Electra
TX149,06/05/2023,Zentia,Karen Young,Chris Murphy,171 Zentia,27 Zentia,Payment,171,27,Zentia
TX150,22/08/2023,Zentia,Nancy Obrien,Anthony Fry,716 Zentia,21 Zentia,Transfer,716,21,Zentia
TX151,10/05/2023,Auric,Mark Wise,John Flores,859 Auric,43 Auric,Transfer,859,43,Auric
TX152,05/03/2023,Electra,John Norris,Paula Patton,161 Electra,50 Electra,Transfer,161,50,Electra
TX153,21/05/2023,Electra,Bryan Wright,Thomas Dixon,215 Electra,26 Electra,Payment,215,26,Electra
TX154,18/04/2023,Lumina,Jennifer Schwartz,Roberto Estrada,480 Lumina,7 Lumina,Transfer,480,7,Lumina
TX155,19/05/2023,Electra,Kristina Thompson,Anthony Hernandez DVM,24 Electra,20 Electra,Transfer,24,20,Electra
TX156,16/03/2023,Lumina,Michael Flores,Dustin Dean,340 Lumina,2 Lumina,Payment,340,2,Lumina
TX157,08/06/2023,Zentia,Michael Thompson,James Hayes,226 Zentia,1 Zentia,Transfer,226,1,Zentia
TX158,17/07/2023,Electra,Alyssa Wood,Omar Jones,121 Electra,9 Electra,Transfer,121,9,Electra
TX159,24/06/2023,Lumina,Wendy Brown MD,Ruben Bradley,31 Lumina,10 Lumina,Purchase,31,10,Lumina
TX160,16/04/2023,Auric,William Herrera,Katherine White,724 Auric,2 Auric,Payment,724,2,Auric
TX161,03/04/2023,Zentia,Nancy Hoover,Brianna Preston,64 Zentia,29 Zentia,Purchase,64,29,Zentia
TX162,18/07/2023,Auric,Jessica Stewart,Traci Martin DDS,998 Auric,27 Auric,Purchase,998,27,Auric
TX163,09/04/2023,Zentia,Ashley Hill,Daniel Fry,349 Zentia,19 Zentia,Transfer,349,19,Zentia
TX164,19/01/2023,Electra,Jeffrey Miller,Brett Rowe,35 Electra,41 Electra,Transfer,35,41,Electra
TX165,02/06/2023,Zentia,Mark Yang,Kelly Lee,166 Zentia,37 Zentia,Payment,166,37,Zentia
TX166,15/05/2023,Zentia,Amy Rogers,Tara Rodriguez,834 Zentia,29 Zentia,Transfer,834,29,Zentia
TX167,06/03/2023,Electra,Amber Miller,Jamie Miles,822 Electra,39 Electra,Transfer,822,39,Electra
TX168,25/02/2023,Auric,Vanessa Merritt DVM,Mr. James Obrien,787 Auric,5 Auric,Purchase,787,5,Auric
TX169,26/07/2023,Lumina,Heather Mcintyre,William Jordan,532 Lumina,40 Lumina,Transfer,532,40,Lumina
TX170,16/06/2023,Lumina,James Hicks,Elizabeth Williams,663 Lumina,40 Lumina,Transfer,663,40,Lumina
TX171,17/01/2023,Zentia,Jonathan King,John Oneill,131 Zentia,13 Zentia,Payment,131,13,Zentia
TX172,29/07/2023,Lumina,Scott Crane,Richard Garcia,276 Lumina,3 Lumina,Transfer,276,3,Lumina
TX173,02/08/2023,Auric,Tiffany Gay,Bryan Phillips PhD,9 Auric,47 Auric,Payment,9,47,Auric
TX174,23/03/2023,Zentia,James Blankenship,Steven Robinson,717 Zentia,3 Zentia,Payment,717,3,Zentia
TX175,02/08/2023,Auric,Rachel Williams,Trevor Swanson,19 Auric,18 Auric,Purchase,19,18,Auric
TX176,10/02/2023,Lumina,Michael Butler,Krista Morrison,67 Lumina,28 Lumina,Transfer,67,28,Lumina
TX177,02/04/2023,Electra,Grace Kelly,John Richardson,640 Electra,17 Electra,Payment,640,17,Electra
TX178,24/03/2023,Lumina,Theresa Reyes,Samuel Young,899 Lumina,4 Lumina,Purchase,899,4,Lumina
TX179,20/06/2023,Auric,Jeffrey Ball,Jennifer Owens,272 Auric,6 Auric,Transfer,272,6,Auric
TX180,30/06/2023,Zentia,Michelle Ruiz,Jacqueline Davis,51 Zentia,30 Zentia,Transfer,51,30,Zentia
TX181,07/03/2023,Zentia,Bradley Ramsey,Evan Stokes,721 Zentia,38 Zentia,Payment,721,38,Zentia
TX182,22/06/2023,Auric,Duane Turner,Ronald Green,253 Auric,7 Auric,Purchase,253,7,Auric
TX183,27/06/2023,Auric,Nathan Clark,Rachel Campbell,358 Auric,13 Auric,Purchase,358,13,Auric
TX184,03/03/2023,Electra,Elizabeth Mack,Michael Scott,223 Electra,22 Electra,Payment,223,22,Electra
TX185,10/05/2023,Zentia,April Phillips,Keith Sparks,352 Zentia,43 Zentia,Purchase,352,43,Zentia
TX186,26/01/2023,Electra,Barbara Perez,Julie Coffey,777 Electra,33 Electra,Purchase,777,33,Electra
TX187,30/06/2023,Zentia,Michael Berry,Adriana Carr,870 Zentia,46 Zentia,Transfer,870,46,Zentia
TX188,15/07/2023,Electra,Anthony Carter,Julian Jarvis,389 Electra,50 Electra,Payment,389,50,Electra
TX189,11/07/2023,Electra,Michelle Walker,Natasha Turner,259 Electra,30 Electra,Payment,259,30,Electra
TX190,31/07/2023,Electra,Kimberly Atkins,Angela Cook,824 Electra,44 Electra,Purchase,824,44,Electra
TX191,04/02/2023,Lumina,John Richardson,David Campbell,411 Lumina,30 Lumina,Payment,411,30,Lumina
TX192,15/01/2023,Zentia,Joy Watson,Todd Lawrence,280 Zentia,39 Zentia,Transfer,280,39,Zentia
TX193,31/05/2023,Lumina,Eddie Gutierrez,Michael Thomas,177 Lumina,28 Lumina,Transfer,177,28,Lumina
TX194,04/03/2023,Auric,Stacey Mcgee,Natalie Smith,121 Auric,15 Auric,Purchase,121,15,Auric
TX195,21/02/2023,Auric,Kimberly Ward,Tracy Rhodes,350 Auric,27 Auric,Purchase,350,27,Auric
TX196,30/04/2023,Lumina,Joel Rios,Ryan Thomas,798 Lumina,41 Lumina,Payment,798,41,Lumina
TX197,15/01/2023,Zentia,Brian Haley,Brittany Brooks,918 Zentia,43 Zentia,Purchase,918,43,Zentia
TX198,01/02/2023,Electra,Evan Ballard,Beverly Flores,549 Electra,12 Electra,Purchase,549,12,Electra
TX199,10/02/2023,Electra,Donna Blake,Kyle Hayes,333 Electra,28 Electra,Payment,333,28,Electra
TX200,08/06/2023,Lumina,Joshua Hogan,Richard Meza,786 Lumina,5 Lumina,Purchase,786,5,Lumina
TX201,17/08/2023,Zentia,Christine Contreras,Jorge Frank,747 Zentia,40 Zentia,Purchase,747,40,Zentia
TX202,26/08/2023,Lumina,Emily Rogers,Sean Norton,221 Lumina,23 Lumina,Transfer,221,23,Lumina
TX203,11/06/2023,Electra,Jeffery Gray,David Hale,372 Electra,13 Electra,Transfer,372,13,Electra
TX204,03/08/2023,Electra,Gina Porter,Kristi Anderson,714 Electra,44 Electra,Payment,714,44,Electra
TX205,02/06/2023,Electra,Tony Smith IV,Michelle Snyder,609 Electra,41 Electra,Transfer,609,41,Electra
TX206,25/04/2023,Lumina,Jeffery Walter,Phillip Mayer,766 Lumina,28 Lumina,Transfer,766,28,Lumina
TX207,10/01/2023,Electra,Mary Jones,Kevin Dean,906 Electra,36 Electra,Purchase,906,36,Electra
TX208,14/05/2023,Electra,Mark Parker,John Williams,768 Electra,40 Electra,Purchase,768,40,Electra
TX209,25/02/2023,Lumina,Benjamin Rodgers,Nichole Miller PhD,548 Lumina,13 Lumina,Purchase,548,13,Lumina
TX210,27/04/2023,Zentia,Ashley Thompson,Scott Miller,757 Zentia,14 Zentia,Transfer,757,14,Zentia
TX211,14/02/2023,Auric,Seth Brown,Dana Brooks,837 Auric,2 Auric,Purchase,837,2,Auric
TX212,12/08/2023,Auric,Karen Bridges,Susan Hunt,677 Auric,34 Auric,Transfer,677,34,Auric
TX213,31/03/2023,Zentia,John Johnson,Andrew Schmidt,114 Zentia,20 Zentia,Payment,114,20,Zentia
TX214,03/05/2023,Zentia,Kenneth Compton,Vicki Snow,213 Zentia,16 Zentia,Payment,213,16,Zentia
TX215,28/02/2023,Lumina,Tara Arroyo,Caitlin Smith,332 Lumina,15 Lumina,Transfer,332,15,Lumina
TX216,25/06/2023,Electra,Regina Beck,Kaitlyn Steele,112 Electra,43 Electra,Transfer,112,43,Electra
TX217,23/06/2023,Zentia,Shannon White,Eileen Mack,491 Zentia,18 Zentia,Purchase,491,18,Zentia
TX218,19/06/2023,Auric,Tiffany Andrade MD,Bailey Mays,812 Auric,25 Auric,Transfer,812,25,Auric
TX219,15/02/2023,Lumina,Rebecca Lewis,Joshua Wilson,567 Lumina,25 Lumina,Payment,567,25,Lumina
TX220,16/07/2023,Electra,Ethan Mason,Benjamin Gomez,739 Electra,14 Electra,Purchase,739,14,Electra
TX221,21/07/2023,Lumina,Steven Rice,Heather Castillo,125 Lumina,1 Lumina,Purchase,125,1,Lumina
TX222,01/07/2023,Lumina,Hannah Turner,Christopher Burns,203 Lumina,49 Lumina,Payment,203,49,Lumina
TX223,02/07/2023,Lumina,Richard Austin,Becky Dickson,876 Lumina,37 Lumina,Transfer,876,37,Lumina
TX224,22/03/2023,Zentia,Andrew Braun,John Booker,709 Zentia,33 Zentia,Purchase,709,33,Zentia
TX225,25/08/2023,Electra,Curtis Moreno,Joshua Black,299 Electra,31 Electra,Purchase,299,31,Electra
TX226,24/03/2023,Zentia,Harold Schroeder,David Perez,696 Zentia,28 Zentia,Payment,696,28,Zentia
TX227,14/03/2023,Lumina,Sean Keller,Erik Miles,229 Lumina,30 Lumina,Purchase,229,30,Lumina
TX228,07/07/2023,Zentia,Gerald Gonzalez,Terri Jones,4 Zentia,43 Zentia,Payment,4,43,Zentia
TX229,02/05/2023,Auric,Misty Tate,Joshua Ritter,730 Auric,24 Auric,Purchase,730,24,Auric
TX230,05/02/2023,Lumina,Bob Hoffman,Samantha Mendoza,265 Lumina,29 Lumina,Payment,265,29,Lumina
TX231,01/04/2023,Auric,Thomas Cooley,Lisa Williams,991 Auric,18 Auric,Purchase,991,18,Auric
TX232,20/04/2023,Zentia,Lisa Myers,Rebecca Sanchez,918 Zentia,7 Zentia,Purchase,918,7,Zentia
TX233,16/06/2023,Auric,Jeffrey Tyler,Victoria Schultz,796 Auric,33 Auric,Payment,796,33,Auric
TX234,27/07/2023,Zentia,Anna Holmes,Victoria Mcintosh,265 Zentia,13 Zentia,Purchase,265,13,Zentia
TX235,07/02/2023,Lumina,Haley Miller,Julie Schneider,403 Lumina,45 Lumina,Transfer,403,45,Lumina
TX236,31/03/2023,Lumina,Bailey Wheeler,Cassidy Wilson,800 Lumina,31 Lumina,Transfer,800,31,Lumina
TX237,02/08/2023,Electra,Christina Baird,Katelyn Martin,328 Electra,46 Electra,Transfer,328,46,Electra
TX238,15/04/2023,Electra,Rachel Swanson,Jennifer Mitchell,912 Electra,22 Electra,Payment,912,22,Electra
